,Call_Number,Title
3587,BF38-64:Philosophy,statistical tests and experimental design a guidebook psychometrics experimental design
3588,BF309-499:Consciousness. Congition,critical thinking what every person needs to survive in a rapidly changing world critical thinking critical thinking study and teaching
3589,BF511-593:Affection. Feeling. Emotion,everyday mind reading understanding what other people think and feel empathy
3590,BF712-724:Developmental psychology,helping bereaved children a handbook for practitioners bereavement in children grief in children children and death children counseling of children counseling of case studies
3591,BF712-724:Developmental psychology,agency its role in mental development cognition in children developmental psychology agent philosophy
3592,BF698:Personality,perfectionism theory research and treatment perfectionism personality trait
3593,BF309-499:Consciousness. Congition,the psychology of stereotyping stereotypes social psychology
3595,BF712-724:Developmental psychology,cognition and affect a developmental psychology of the individual developmental psychology philosophy cognition affect psychology
3597,BF173-175:Psychoanalysis,les écoles psychanalytiques la psychanalyse en mouvement psychoanalysis history
3598,BF698:Personality,charis und charisma grazie und gewalt von winckelmann bis heidegger charisma personality trait charis the greek word german literature history and criticism
3600,BF712-724:Developmental psychology,twins from fetus to child twins psychology
3601,BF309-499:Consciousness. Congition,natural language and possible minds how language uncovers the cognitive landscape of nature cognition language and languages philosophy
3603,BF1-37:Psychology,making a difference in the life of others proceedings of the 62nd annual convention international council of psychologists august 36 2004 jinan china psychology congresses
3604,BF697:Differential psychology. Individuality. Self,selfdisclosure a contemporary analysis selfdisclosure
3605,BF511-593:Affection. Feeling. Emotion,psychological bases of war edited by heinrich z winnik rafael moses and mortimer ostow aggressiveness war psychological aspects
3606,BF309-499:Consciousness. Congition,closing the gap symbolicism versus connectionism cognition connectionism mental representation
3607,BF309-499:Consciousness. Congition,thoughts on things forgotten recharging the collective memory banks memory social aspects collective memory social psychology
3610,BF309-499:Consciousness. Congition,feedback the communication of praise criticism and advice feedback psychology interpersonal communication
3611,BF309-499:Consciousness. Congition,human information processing an introduction to psychology human information processing
3612,BF1404-1443:Occult sciences,the superstitious mind french peasants and the supernatural in the nineteenth century occultism france history 19th century france social life and customs
3613,BF511-593:Affection. Feeling. Emotion,happiness healing enhancement your casebook collection for applying positive psychology in therapy happiness psychotherapy
3614,BF712-724:Developmental psychology,grief in children a handbook for adults grief in children children and death
3615,BF511-593:Affection. Feeling. Emotion,the pollyanna principle selectivity in language memory and thought optimism selectivity psychology
3616,BF636-637:Applied psychology,theory and practice of counseling and psychotherapy counseling psychotherapy
3617,BF309-499:Consciousness. Congition,the nature of intelligence and its development in childhood children intelligence testing intellect history intellect measurement child development
3618,BF712-724:Developmental psychology,neoconstructivism the new science of cognitive development cognition in infants attention in infants perception in infants
3620,BF1-37:Psychology,shinrigaku jiten heibonshas psychological dictionary psychology dictionaries japanese japanese language dictionaries polyglot
3622,BF1111-1156:Hypnotism. Suggestions. Mesmerism. Subliminal Projection,hypnosis a brief history hypnotism
3623,BF1585-1623:Magic. Hermetics. Necromancy,meliouchos studien zur entwicklung religiöser vorstellungen in griechischen synkretischen zaubertexten magic greek greece religion
3624,BF636-637:Applied psychology,change 101 a practical guide to creating change in life or therapy change psychology
3625,BF712-724:Developmental psychology,parenting and theory of mind parent and child child psychology philosophy of mind in children parenting psychological aspects
3626,BF636-637:Applied psychology,formulating and reaching goals success
3627,BF309-499:Consciousness. Congition,memória cultura e sociedade memory social aspects
3628,BF309-499:Consciousness. Congition,hindsight the promise and peril of looking backward hindsight bias psychology
3629,BF728-794:Psychology,the complete color harmony expert color information for professional color results color psychological aspects
3630,BF309-499:Consciousness. Congition,kants transcendental psychology cognition kant immanuel 17241804 kant immanuel 17241804 kritik der reinen vernunft
3632,BF699-711:Genetic Psychology,people in systems a model for development in the humanservice professions and education maturation psychology social institutions
3633,BF309-499:Consciousness. Congition,assessment of men selection of personnel for the office of strategic services by the oss assessment staff ability testing
3634,BF65-172:Psychology,the transformative mind expanding vygotskys approach to development and education vygotskiĭ l s lev semenovich 18961934 developmental psychology critical theory education philosophy
3635,BF698:Personality,extraversion and introversion an interactional perspective extraversion introversion personality
3636,BF309-499:Consciousness. Congition,on the role of creativity in history and is america neglecting her creative talents c w taylor ed creative ability creative thinking
3637,BF309-499:Consciousness. Congition,guidebook for developing criterionreferenced tests examinations educational tests and measurements intelligence tests psychological tests
3638,BF204-206:Psychology,phenomenology and psychological science historical and philosophical perspectives phenomenological psychology
3640,BF636-637:Applied psychology,forgive your parents heal yourself how understanding your painful family legacy can transform your life forgiveness adult children psychology families psychological aspects interpersonal communication intergenerational relations family psychotherapy
3642,BF309-499:Consciousness. Congition,acquisition of reading in dutch reading psychology of reading netherlands reading research netherlands
3643,BF697:Differential psychology. Individuality. Self,identity narcissism and the other object relations and their obstacles identity psychology psychoanalysis narcissism
3644,BF712-724:Developmental psychology,the handbook of aging and cognition cognition in old age cognition age factors
3645,BF309-499:Consciousness. Congition,information and creation integrating the two cultures human information processing information theory in psychology information theory creative ability creation literary artistic etc
3646,BF309-499:Consciousness. Congition,the origins and history of consciousness consciousness personality
3647,BF636-637:Applied psychology,the making of a counsellor counseling case studies psychodynamic psychotherapy case studies
3648,BF1892-2049:Occult sciences,communion with god god miscellanea spiritual life miscellanea
3651,BF65-172:Psychology,the interrelationship between mind and matter proceedings of a conference hosted by the center for frontier sciences mind and body congresses consciousness congresses psychobiology congresses philosophy of mind congresses
3652,BF309-499:Consciousness. Congition,perceptions without awareness cognitive clinical and social perspectives subliminal perception
3655,BF511-593:Affection. Feeling. Emotion,grief and bereavement in the adult palliative care setting bereavement palliative care psychology stress psychological
3656,BF309-499:Consciousness. Congition,imagination a way toward western nirvana imagination
3657,BF309-499:Consciousness. Congition,psychoanalysis and creativity in everyday life ordinary genius creative ability selfperception psychoanalysis
3658,BF1892-2049:Occult sciences,images oracles of austin osman spare spare austin osman 18861956 occultism
3659,BF1651-1729:Astrology,the round art the astrology of time and space astrology
3660,BF699-711:Genetic Psychology,the adapted mind evolutionary psychology and the generation of culture genetic psychology cognition and culture behavior evolution sociobiology
3662,BF309-499:Consciousness. Congition,memory politics and religion the past meets the present in europe memory social aspects memory political aspects religion and politics het verleden herinnering collectief geheugen kollektives gedachtnis politik religion sozialanthropologie europe history philosophy
3664,BF511-593:Affection. Feeling. Emotion,human bonding the science of affectional ties friendship interpersonal relations
3665,BF712-724:Developmental psychology,genetic epistemology cognition in children thought and thinking
3666,BF697:Differential psychology. Individuality. Self,chatter the voice in our head why it matters and how to harness it selftalk thought and thinking communication psychological aspects
3667,BF173-175:Psychoanalysis,survivor café the legacy of trauma and the labyrinth of memory genocide psychological aspects psychic trauma posttraumatic stress disorder memory epigenetics
3668,BF1585-1623:Magic. Hermetics. Necromancy,john dees natural philosophy between science and religion dee john 15271608 hermetism england history 16th century occultism england history 16th century
3669,BF712-724:Developmental psychology,the intellectual lives of children cognition in children children intellectual life youth intellectual life education age and intelligence
3670,BF697:Differential psychology. Individuality. Self,storied lives the cultural politics of selfunderstanding identity psychology biography psychological aspects psychology biographical methods social sciences biographical methods discourse analysis narrative selfpresentation
3671,BF176:Pyshological tests and testing,commissioned reviews of 250 psychological tests psychological tests evaluation
3672,BF511-593:Affection. Feeling. Emotion,scholastic affect gender maternity and the history of emotions affect psychology religious aspects christianity women psychology history women religious aspects christianity history mary blessed virgin saint symbolism
3673,BF173-175:Psychoanalysis,freudian passions psychoanalysis form and literature affect psychology
3674,BF697:Differential psychology. Individuality. Self,die unhintergehbarkeit von individualität reflexionen über subjekt person und individuum aus anlass ihrer postmodernen toterklärung individuality
3675,BF309-499:Consciousness. Congition,how to develop an exceptional memory by morris n young and walter b gibson mnemonics memory
3676,BF309-499:Consciousness. Congition,a smorgasbord of cognitive science cognitive science cognitive learning
3678,BF65-172:Psychology,sigmund freud museum wien ix berggasse 19 katalog freud sigmund 18561939 museums sigmund freud museum psychoanalysis history museums psychoanalysis museums austria vienna catalogs
3679,BF173-175:Psychoanalysis,archetypal processes in psychotherapy archetype psychology jung c g carl gustav 18751961 psychoanalysis
3680,BF636-637:Applied psychology,9 things successful people do differently success success in business goal psychology
3681,BF38-64:Philosophy,rediscovering empathy agency folk psychology and the human sciences psychology philosophy science and psychology empathy
3682,BF511-593:Affection. Feeling. Emotion,kategorii russkoĭ kulʹtury xviiixx vekov skuka boredom russia boredom social aspects russia russia civilization russia social conditions boredom in literature language and culture russia federation russian language semantics
3683,BF309-499:Consciousness. Congition,ten years of viewing from within the legacy of francisco varela consciousness experience
3684,BF1585-1623:Magic. Hermetics. Necromancy,die chymische hochzeit des christian rosencreutz society of rosicrucians rosencreutz christian chymische hochzeit
3685,BF1585-1623:Magic. Hermetics. Necromancy,neue rosenkreuzer ein handbuch rosicrucians
3686,BF728-794:Psychology,the complete color harmony expert color information for professional results color psychological aspects
3687,BF698:Personality,surviving and other essays personality change psychic trauma nazi concentration camps germany psychological aspects holocaust jewish 19391945 psychological aspects oppression psychology social psychology
3688,BF511-593:Affection. Feeling. Emotion,aggression and war their biological and social bases aggressiveness aggressiveness physiological aspects aggressiveness social aspects war psychological aspects
3689,BF636-637:Applied psychology,cognitive behavioural interviewing for adult disorders a practical handbook interviewing psychological consultation behavioral assessment personality assessment personality disorders
3690,BF173-175:Psychoanalysis,bion and being passion and the creative mind bion wilfred r wilfred ruprecht 18971979 psychoanalysis psychoanalysts great britain biography
3692,BF309-499:Consciousness. Congition,teaching highschool students to read a study of retardation in reading theodore roosevelt high school reading psychology of eye movements
3694,BF231-299:Sensation. Aesthesiology,body movement and nonverbal communication an annotated bibliography 19711980 movement psychology of bibliography body language bibliography
3696,BF636-637:Applied psychology,successful selfmanagement a psychologically sound approach to personal effectiveness success selfmanagement psychology success problems exercises etc selfmanagement psychology problems exercises etc planning
3697,BF309-499:Consciousness. Congition,managing personal change selfmanagement skills for work and life transitions change psychology life change events change psychology problems exercises etc life change events problems exercises etc
3698,BF65-172:Psychology,the philosophical psychology of william james psychology james william 18421910 principles of psychology phenomenological psychology philosophy
3699,BF636-637:Applied psychology,dynamic patterns in communication processes interpersonal communication communication psychological aspects
3700,BF511-593:Affection. Feeling. Emotion,comprehensive stress management stress psychology stress physiology stress psychology prevention stress management
3701,BF511-593:Affection. Feeling. Emotion,letting go of anger the 10 most common anger styles and what to do about them anger control psychology
3702,BF1892-2049:Occult sciences,the human biological machine as a transformational apparatus occultism
3703,BF1048-1108:Hallucinations. Sleep. Dreaming. Visions,the dream and the underworld dreams mythology death
3704,BF636-637:Applied psychology,behavior modification in the human services a systematic introduction to concepts and applications behavior modification behavior therapy concepts
3705,BF511-593:Affection. Feeling. Emotion,shinkō to amae dependency psychology
3706,BF636-637:Applied psychology,counselling counseling
3707,BF231-299:Sensation. Aesthesiology,motor skills development and learning by loretta m stallings motor learning
3708,BF636-637:Applied psychology,the helping relationship process and skills counseling helping behavior
3709,BF636-637:Applied psychology,beginning counseling practicum counseling
3710,BF636-637:Applied psychology,counseling strategies and objectives counseling
3711,BF636-637:Applied psychology,group procedures for counselors in educational and community settings original and selected readings group counseling
3712,BF1501-1561:Demonology. Satanism. Possession,zauber und segen witchcraft charms superstition
3713,BF65-172:Psychology,principles of behavioral analysis behaviorism psychology conditioned response psychology
3714,BF173-175:Psychoanalysis,practicing wholeness analytical psychology and jungian thought whole and parts psychology jungian psychology psychoanalysis jung c g carl gustav 18751961 psychoanalytic counseling
3715,BF712-724:Developmental psychology,cultivating curious and creative minds the role of teachers and teacher educators creative ability creative thinking teaching psychological aspects
3716,BF636-637:Applied psychology,action counseling for behavior change counseling behavior therapy clientcentered psychotherapy
3717,BF309-499:Consciousness. Congition,the rise creativity the gift of failure and the search for mastery creative ability failure psychology expertise
3718,BF511-593:Affection. Feeling. Emotion,the art of loving love
3719,BF698:Personality,the complete idiots guide to personality profiles personality
3720,BF712-724:Developmental psychology,the amazing infant infant psychology infants development
3721,BF511-593:Affection. Feeling. Emotion,the importance of being funny why we need more jokes in our lives laughter history wit and humor history joking social aspects
3722,BF712-724:Developmental psychology,gender and development developmental psychology child psychology sex differences psychology
3723,BF698:Personality,health and resilience resilience personality trait wellbeing health
3724,BF511-593:Affection. Feeling. Emotion,humour a very short introduction laughter wit and humor philosophy wit and humor psychological aspects
3725,BF511-593:Affection. Feeling. Emotion,together closer the art and science of intimacy in friendship love and family intimacy psychology interpersonal relations
3726,BF636-637:Applied psychology,the art of the moment simple ways to get the most from life quality of life
3727,BF712-724:Developmental psychology,the psychology of ageing from mind to society aging psychological aspects cognition age factors ability influence of age on
3728,BF309-499:Consciousness. Congition,mindworlds a decade of conscioiusness studies consciousness philosophy
3729,BF698:Personality,birkbeck word association norms association tests meaning psychology testing vocabulary tests great britain
3730,BF1001-1045:Psychic research. Psychology of the conscious.,transformed by the light the powerful effect of neardeath experiences on peoples lives neardeath experiences psychological aspects longitudinal studies
3731,BF728-794:Psychology,final gifts understanding the special awareness needs and communications of the dying death psychological aspects terminally ill psychology terminally ill family relationships death psychological aspects case studies terminally ill psychology case studies terminally ill family relationships case studies
3732,BF511-593:Affection. Feeling. Emotion,the mourning handbook the most comprehensive resource offering practical and compassionate advice on coping with all aspects of death and dying grief bereavement psychological aspects death psychological aspects counseling
3733,BF309-499:Consciousness. Congition,your inner critic is a big jerk and other truths about being creative creative ability
3734,BF65-172:Psychology,psychology psychology
3735,BF511-593:Affection. Feeling. Emotion,emotional intelligence emotions emotions and cognition emotions social aspects
3737,BF65-172:Psychology,psychology for law enforcement psychology criminal psychology police psychology
3738,BF309-499:Consciousness. Congition,the mythological unconscious subconsciousness jungian psychology mythology
3739,BF309-499:Consciousness. Congition,iktishāf wariʻāyat almawhūbīn fī miṣr dirāsāt maydānīyah istikshāfīyah wataṣawwur muqtaraḥ liistirātījīyah tarbawīyah wamujtamaʻīyah dāʼimah ability testing gifted persons egypt gifted children egypt education and state egypt
3740,BF309-499:Consciousness. Congition,shut your monkey how to control your inner critic and get more done creative ability selfactualization psychology popular works
3741,BF173-175:Psychoanalysis,the evolution of the emotionprocessing mind with an introduction to mental darwinism psychoanalysis and evolution emotions genetic psychology
3742,BF697:Differential psychology. Individuality. Self,the minimal self psychic survival in troubled times self human ecology
3743,BF712-724:Developmental psychology,drawing and looking theoretical approaches to pictorial representation in children childrens drawings psychological aspects child development children psychological aspects
3744,BF38-64:Philosophy,experimental design in psychological research experimental design psychometrics psychology research
3745,BF203:Gestalt psychology,gestalt psychology and the cognitive revolution gestalt psychology cognitive psychology behaviorism psychology
3746,BF309-499:Consciousness. Congition,biofeedback and related therapies in clinical practice biofeedback training stress psychology prevention hypertension psychosomatic aspects medicine psychosomatic
3747,BF795-839:Temperament. Character,the road to character character virtues humility
3748,BF511-593:Affection. Feeling. Emotion,the science of stress living under pressure stress psychology stress physiology
3749,BF511-593:Affection. Feeling. Emotion,the stress test how pressure can make you stronger and sharper stress management stress physiology stress psychology success
3750,BF65-172:Psychology,developmental psychology developmental psychology
3752,BF207-209:Psychotropic drugs and other substances,the harvard psychedelic club how timothy leary ram dass huston smith and andrew weil killed the fifties and ushered in a new age for america leary timothy 19201996 ram dass smith huston weil andrew hallucinogenic drugs research massachusetts cambridge history 20th century harvard university department of social relations biography hallucinogenic drugs social aspects united states history 20th century religion and sociology united states history 20th century counterculture united states history 20th century united states social conditions 19601980
3753,BF173-175:Psychoanalysis,la critica freudiana freud sigmund 18561939 psychoanalysis
3754,BF712-724:Developmental psychology,understanding child development psychological perspectives in an interdisciplinary field of inquiry child psychology
3755,BF173-175:Psychoanalysis,archetype revisited an updated natural history of the self jungian psychology archetype psychology self
3756,BF309-499:Consciousness. Congition,life and art the creative synthesis in literature creation literary artistic etc
3757,BF511-593:Affection. Feeling. Emotion,experiencing emotion a crosscultural study emotions crosscultural studies national characteristics european
3758,BF712-724:Developmental psychology,handbook of adult development and learning adulthood psychological aspects learning psychology of adult learning
3759,BF728-794:Psychology,dying and creating a search for meaning death psychological aspects
3760,BF309-499:Consciousness. Congition,mathematics under the microscope notes on cognitive aspects of mathematical practice mathematics psychological aspects mathematical ability
3761,BF636-637:Applied psychology,neurolinguistic programming a critical appreciation for managers and developers neurolinguistic programming management
3762,BF728-794:Psychology,what matters most the power of living your values values psychological aspects time management conduct of life
3763,BF511-593:Affection. Feeling. Emotion,the 10step method of stress relief decoding the meaning and significance of stress stress psychology stress management
3764,BF309-499:Consciousness. Congition,work happiness and unhappiness work psychological aspects
3765,BF309-499:Consciousness. Congition,psychological testing psychological tests
3766,BF309-499:Consciousness. Congition,altafkīr alnāqid waaltarbiyah aliʻlāmaīyah alusus waalmafāhīm namūdhaj muqtaraḥ litaṭbīq mafhūm altarbiyah aliʻlāmaīyah fī almadāris alḥukūmīyah bidawlat alimārāt alʻarabīyah almuttaḥidah critical thinking united arab emirates mass media and education united arab emirates educational broadcasting united arab emirates
3767,BF697:Differential psychology. Individuality. Self,selfdisclosure in psychotherapy and recovery selfdisclosure psychotherapy methodology psychotherapist and patient substance abuse patients counseling of
3768,BF699-711:Genetic Psychology,alas poor darwin arguments against evolutionary psychology genetic psychology human evolution
3769,BF65-172:Psychology,apa ethics code commentary and case illustrations psychologists professional ethics psychology standards psychologists professional ethics case studies
3770,BF309-499:Consciousness. Congition,art and human development creative ability arts psychological aspects
3771,BF511-593:Affection. Feeling. Emotion,teaching empathy a blueprint for caring compassion and community empathy social skills in children study and teaching
3772,BF636-637:Applied psychology,teasing and harassment the frames and scripts approach for teachers and parents teasing harassment interpersonal relations
3773,BF176:Pyshological tests and testing,validity inferences from interobserver agreement behavioral assessment statistical methods psychology research psychodiagnostics
3774,BF1651-1729:Astrology,lastrologie relativiste astrology
3775,BF728-794:Psychology,human values in the classroom teaching for personal and social growth moral education values educational psychology
3776,BF199-202:Psychology,handbook of diversity in feminist psychology feminist psychology multiculturalism psychological aspects feminist therapy sexism
3777,BF725-727:Class psychology,physical disability a psychological approach people with disabilities psychology
3778,BF176:Pyshological tests and testing,measuring psychological constructs advances in modelbased approaches psychological tests congresses
3779,BF173-175:Psychoanalysis,the medusa effect representation and epistemology in victorian aesthetics psychoanalysis medusa gorgon horror
3780,BF501-505:Motivation,reversal theory motivation emotion and personality reversal theory psychology
3781,BF309-499:Consciousness. Congition,acts of meaning meaning psychology cognitive psychology history ethnopsychology
3782,BF173-175:Psychoanalysis,religion and spirituality in psychotherapy an individual psychology perspective adlerian psychology psychology religious aspects adler alfred 18701937
3783,BF231-299:Sensation. Aesthesiology,sounds and perception new philosophical essays auditory perception sounds
3784,BF309-499:Consciousness. Congition,leib und unbewusstes freuds begriff des unbewussten interpretiert durch den leibbegriff merleaupontys subconsciousness love freud sigmund 18561939 merleauponty maurice 19081961 psychoanalysis phenomenology
3785,BF173-175:Psychoanalysis,womens mysteries toward a poetics of gender femininity women psychology sex differences psychology feminist psychology
3786,BF712-724:Developmental psychology,midlife crisis die krise in der mitte des lebens midlife crisis middle age middleaged persons sexual behavior maturation psychology
3787,BF697:Differential psychology. Individuality. Self,the self we live by narrative identity in a postmodern world self self social aspects identity psychology
3788,BF38-64:Philosophy,beyond therapy the impact of eastern religions on psychological theory and practice psychology and religion buddhism influence
3790,BF173-175:Psychoanalysis,jung jung c g carl gustav 18751961 psychoanalysts switzerland biography
3792,BF309-499:Consciousness. Congition,listening processes attention understanding evaluation listening research
3793,BF173-175:Psychoanalysis,jacques lacan co a history of psychoanalysis in france 19251985 lacan jacques 19011981 psychoanalysis france history
3794,BF712-724:Developmental psychology,infancy infant psychology
3795,BF511-593:Affection. Feeling. Emotion,bereavement reactions consequences and care bereavement psychological aspects bereavement psychosomatic aspects psychotherapy medical care
3796,BF309-499:Consciousness. Congition,extraordinary minds mozart wolfgang amadeus 17561791 freud sigmund 18561939 woolf virginia 18821941 gandhi mahatma 18691948 gifted persons gifted persons case studies
3797,BF65-172:Psychology,women in psychology a biobibliographic sourcebook women psychologists biography psychologists biography psychology biobibliography
3798,BF309-499:Consciousness. Congition,the myth of the first three years a new understanding of early brain development and lifelong learning learning psychology of educational psychology pediatric neuropsychology
3799,BF1048-1108:Hallucinations. Sleep. Dreaming. Visions,western rationality and the angel of dreams self psyche dreaming freud sigmund 18561939 dreams dream interpretation
3800,BF636-637:Applied psychology,invitational counseling a selfconcept approach to professional practice counseling
3801,BF1562-1584:Witchcraft,witchcraft and religion the politics of popular belief witchcraft europe religion
3802,BF728-794:Psychology,why people believe weird things pseudoscience superstition and other confusions of our time belief and doubt truthfulness and falsehood parapsychology
3804,BF309-499:Consciousness. Congition,heuristics for knowledge acquisition from maps learning psychology of maps psychological aspects
3805,BF309-499:Consciousness. Congition,training procedures for map learning learning psychology of maps psychological aspects
3806,BF511-593:Affection. Feeling. Emotion,intimacy understanding the subtle power of human connection intimacy psychology
3807,BF1-37:Psychology,international directory of psychologists exclusive of the usa a publication of the international union of psychological science psychologists directories
3808,BF309-499:Consciousness. Congition,some thoughts about cognitive strategies and reading comprehension by joel r levin reading elementary reading comprehension reading psychology of
3810,BF511-593:Affection. Feeling. Emotion,representations of emotions emotions emotions in literature language and emotions literature and anthropology
3813,BF309-499:Consciousness. Congition,problem solving a structural problem solving psychometrics
3814,BF309-499:Consciousness. Congition,blackandwhite thinking the burden of a binary brain in a complex world categorization psychology popular works social psychology popular works human behavior popular works
3815,BF712-724:Developmental psychology,lifespan development developmental psychology
3816,BF1444-1486:Ghosts. Apparitions. Hauntings,ghosts of the old west desert spirits haunted cabins lost trails and other strange encounters ghosts west us
3818,BF511-593:Affection. Feeling. Emotion,take control of your life a complete guide to stress relief stress psychology
3819,BF511-593:Affection. Feeling. Emotion,grieving how to go on living when someone you love dies grief bereavement psychological aspects
3820,BF309-499:Consciousness. Congition,why arent you writing research real talk strategies and shenanigans writing psychological aspects academic writing psychological aspects writers block
3821,BF636-637:Applied psychology,deception from ancient empires to internet dating deception deception social aspects truthfulness and falsehood
3822,BF636-637:Applied psychology,taking the fear out of changing success psychological aspects selfactualization psychology change psychology
3823,BF511-593:Affection. Feeling. Emotion,lighten up survival skills for people under pressure laughter wit and humor psychological aspects stress management
3824,BF65-172:Psychology,mastering psychology psychology
3825,BF697:Differential psychology. Individuality. Self,emotional survival selfacceptance selfesteem mental health stress psychology depression mental
3826,BF309-499:Consciousness. Congition,find your artistic voice the essential guide to working your creative magic creation literary artistic etc creative ability expression philosophy
3827,BF173-175:Psychoanalysis,superiority and social interest a collection of later writings saller alfred 18701937 psychoanalysis psychoanalysts austria biography
3828,BF65-172:Psychology,seven steps to self healing mind and body mental healing satisfaction selfhelp techniques
3829,BF309-499:Consciousness. Congition,the singularity of man the origin and evolution of consciousness consciousness perception
3832,BF309-499:Consciousness. Congition,de los confines del presente time perception
3833,BF38-64:Philosophy,research methods for multimode data analysis factor analysis multidimensional scaling tucker ledyard r 1910 psychometrics social sciences research
3834,BF636-637:Applied psychology,relational ethics in practice narratives from counselling and psychotherapy counseling moral and ethical aspects psychotherapy moral and ethical aspects
3835,BF231-299:Sensation. Aesthesiology,ratio scaling of psychological magnitude in honor of the memory of ss stevens senses and sensation research statistical methods congresses psychometrics congresses
3836,BF1048-1108:Hallucinations. Sleep. Dreaming. Visions,dreams and healing dreams spiritual healing
3837,BF309-499:Consciousness. Congition,preconscious processing subliminal perception
3838,BF309-499:Consciousness. Congition,the bilingualbicultural child and the question of intelligence intellect bilingualism psychological aspects biculturalism psychological aspects education bilingual united states
3839,BF1585-1623:Magic. Hermetics. Necromancy,the rosicrucian christianity lectures rosicrucians
3840,BF697:Differential psychology. Individuality. Self,watashi selfperception juvenile literature japanese language juvenile literature
3841,BF1562-1584:Witchcraft,xin zhi de wu qu wu shu yu zhongguo wu shu wen hua witchcraft china china religious life and customs
3842,BF1651-1729:Astrology,johannes lichtenberger eine studie zur geschichte der prophetie und astrologie lichtenberger johannes active 15th century astrology prophecies
3843,BF712-724:Developmental psychology,children and play play psychological aspects play behavior in animals child psychology child development psychology comparative
3844,BF712-724:Developmental psychology,children and pictures drawing and understanding childrens drawings psychological aspects child development child psychology
3845,BF697:Differential psychology. Individuality. Self,the damaged core origins dynamics manifestations and treatment self
3846,BF65-172:Psychology,the title of the letter a reading of lacan lacan jacques 19011981
3847,BF511-593:Affection. Feeling. Emotion,finding flow the psychology of engagment with every day life happiness conduct of life
3848,BF712-724:Developmental psychology,genius revisited high iq children grown up hunter college elementary school students hunter college high school students gifted children psychology longitudinal studies gifted psychology longitudinal studies gifted children education longitudinal studies gifted education longitudinal studies
3850,BF1001-1045:Psychic research. Psychology of the conscious.,vom jenseits der seele die geheimwissenschaften in kritischer betrachtung occultism
3851,BF712-724:Developmental psychology,toys and playthings in development and remediation play united states child psychology children with disabilities care play therapy child development
3852,BF712-724:Developmental psychology,twins black and white twins psychology intelligence levels african americans intelligence levels united states
3853,BF712-724:Developmental psychology,adolescent development in contemporary society adolescent psychology
3854,BF697:Differential psychology. Individuality. Self,looking good male body image in modern america body image in men
3855,BF697:Differential psychology. Individuality. Self,psychology and selfhood in the segregated south self southern states history identity psychology southern states history segregation southern states history psychology study and teaching southern states history
3856,BF231-299:Sensation. Aesthesiology,visual coding and adaptability visual perception
3857,BF173-175:Psychoanalysis,freud et linterprétation de la littérature freud sigmund 18561939 psychoanalysis and literature
3858,BF712-724:Developmental psychology,development in context acting and thinking in specific environments cognition in children social aspects congresses socialization congresses environmental psychology congresses
3859,BF309-499:Consciousness. Congition,understanding consciousness consciousness
3860,BF636-637:Applied psychology,altruism and helping behavior perspectives from developmental personality and social psychology helping behavior
3861,BF173-175:Psychoanalysis,on the freud watch public memoirs roazen paul 19362005 psychoanalysis philosophy
3862,BF698:Personality,regulierungspsychologie regeltheoretische analysen menschl verhaltensweisen u erlebensformen personality adaptation level psychology system theory psychology and literature
3864,BF38-64:Philosophy,questioning psychology beyond theory and control psychology practice psychology methodology
3865,BF309-499:Consciousness. Congition,individual and group decision making current issues decision making group decision making
3866,BF176:Pyshological tests and testing,applied psychometrics psychological tests psychometrics
3867,BF65-172:Psychology,the little world of man by j b bamborough shakespeare william 15641616 knowledge psychology psychology history mind and body england english literature early modern 15001700 history and criticism english literature psychological aspects
3868,BF173-175:Psychoanalysis,the scientific evaluation of freuds theories and therapy a book of readings freud sigmund 18561939 psychoanalysis
3869,BF712-724:Developmental psychology,cognitive decline strategies for prevention cognition in old age cognition disorders in old age prevention
3870,BF511-593:Affection. Feeling. Emotion,becoming free the struggle for human development autonomy psychology social aspects united states social conditions
3872,BF636-637:Applied psychology,group counseling a developmental approach group counseling
3873,BF309-499:Consciousness. Congition,decision making a psychological analysis of conflict choice and commitment decision making conflict psychology stress psychology commitment psychology
3874,BF1404-1443:Occult sciences,magical and mystical sites europe and the british isles occultism europe
3875,BF65-172:Psychology,lacan et la philosophie lacan jacques 19011981
3876,BF712-724:Developmental psychology,the development of attachment and affiliative systems parent and child infant psychology developmental psychobiology
3877,BF697:Differential psychology. Individuality. Self,admirable evasions how psychology undermines morality selfperception selfreliance psychotherapy psychoanalysis psychology moral and ethical aspects
3878,BF511-593:Affection. Feeling. Emotion,the communication of emotion emotions body language
3879,BF309-499:Consciousness. Congition,interpretive group discussion as a method of facilitating social change a progress report on the use of group methods in the investigation and resolution of social problems social adjustment attitude psychology
3880,BF712-724:Developmental psychology,emotions cognition and behavior developmental psychology emotions cognition emotions in children cognition in children
3882,BF636-637:Applied psychology,after success findesiècle anxiety and identity success great britain psychological aspects case studies anxiety great britain psychological aspects case studies
3883,BF511-593:Affection. Feeling. Emotion,grief dying and death clinical interventions for caregivers bereavement psychological aspects grief death psychological aspects terminally ill psychology
3884,BF1745-1779:Oracles. Sibyls. Diviniations,feng shui environments of power a study of chinese architecture feng shui geomancy
3886,BF697:Differential psychology. Individuality. Self,public appearances private realities the psychology of selfmonitoring selfpresentation
3888,BF173-175:Psychoanalysis,lacan and the political lacan jacques 19011981 psychoanalysis political aspects psychoanalysis social aspects
